Username,Midterm 1,Midterm 2,Final,Total Score,Class Grade
5802,7933,8712,02202000,,1.7
182156,,,,,0
113600,4786,,,,0
101923,4101,5310,00312100,,1.3
155221,0802,8012,03520000,,1.5
102539,6501,9363,00720000,,1.6
57883,4500,5334,04619084,,1.9
187503,0985,a431,02910030,,1.9
48122,2885,9493,00300000,,1.9
168123,0935,8838,02520023,,2
125705,8984,5433,05100080,,2
135226,7844,9160,06ad2030,,2.1
19031,4b47,a542,02202540,,2.1
166407,4983,a660,38200030,,2.1
63794,6c72,0521,6756bc00,,2.2
80466,4b54,6822,03234165,,2.2
82864,4a28,907a,00522060,,2.2
55762,8c56,9327,3020b001,,2.3
162020,ca46,6377,05302007,,2.3
13590,bb47,9296,00440000,,2.3
99605,6b05,a469,0333b006,,2.3
63633,0673,a560,c8809c50,,2.4
79912,4a82,95a7,07132080,,2.4
179571,6b84,56a7,06900036,,2.4
36934,3985,a032,06b92c4a,,2.4
70947,4a32,a042,65b2ab04,,2.4
10159,a984,7276,05330034,,2.4
54626,5855,9476,0522cc00,,2.4
12596,0b48,3826,0471b870,,2.4
82054,8574,4420,c9b76070,,2.4
169826,7c87,56aa,00530700,,2.5
12900,8a47,a552,05a00c56,,2.5
44304,4a88,94aa,06308000,,2.5
125152,7c45,a358,b553b010,,2.5
32507,8c47,7a9a,00432032,,2.6
58666,7a46,a893,00200c6a,,2.6
190044,3c68,a378,076c0000,,2.6
17167,a946,962a,67c30040,,2.6
39410,a976,a697,c6720050,,2.6
41881,8a84,5477,c2980000,,2.6
28311,4c43,a788,c6710c80,,2.6
91003,0971,a799,02932c86,,2.6
69009,0a44,a6a7,c6690034,,2.6
60246,a835,a566,3a840334,,2.6
89662,4b01,a620,8c7d7c06,,2.6
60437,7c85,8898,35530b00,,2.7
81425,3c86,a77a,35309c72,,2.7
87410,8c84,839a,92222063,,2.7
33523,7c88,a565,08630c00,,2.7
1741,5a77,5449,0632bc86,,2.7
49876,ac88,a689,62440055,,2.8
134698,4b87,a358,c3c12066,,2.8
179756,4c68,aaa7,045d2000,,2.8
27060,8a35,8668,0672c07b,,2.8
40241,0706,4395,cc9e2c68,,2.8
173831,7c86,a699,038a0232,,2.8
128140,4a77,5678,86b40c63,,2.8
46989,4885,8751,c5cdbc30,,2.8
62807,8a68,a4a2,a5730c39,,2.8
6685,4984,69a5,93ce0086,,2.8
31732,6881,a889,02732c96,,2.8
149248,7b22,958a,c383bc01,,2.8
151313,8b65,a477,a0670c36,,2.8
195001,8c87,a577,24218c30,,2.8
47848,0c62,8277,c56cab06,,2.8
27934,9787,86a9,a9700033,,2.8
110671,8915,a88a,c6620a66,,2.9
157878,8786,a663,049ebc47,,2.9
124673,5a47,a5a5,008dbb2a,,2.9
55281,9c87,7596,0852bc00,,2.9
125598,8a66,a7aa,00d70571,,2.9
58581,4c77,a48a,c643c035,,2.9
103924,6a85,a467,03589aaa,,2.9
172144,7c86,88a6,b9350c73,,3
169017,c977,a957,c38e2700,,3
12559,8988,869a,05a50c58,,3
143835,8a15,a7aa,06c8097a,,3
8875,7b86,a68a,08b32c36,,3
156187,6a77,a48a,c7960086,,3
178045,aa88,a6a5,c9700b6b,,3
18559,4c88,a8a9,c36c0c40,,3
101404,7b57,a98a,0083cc36,,3
2211,8921,a827,c8ac2bc3,,3
87039,8c55,a78a,8360b586,,3
152058,8843,998a,c96d0c60,,3
178823,7984,8755,c9780c78,,3
41581,4c85,9aa8,04532c96,,3
166441,4b65,8777,c8c80c66,,3
21954,2a88,a7aa,c9730c35,,3.1
106131,8486,a6a4,ccdc0c0d,,3.1
73365,6983,a899,c8067c36,,3.1
151309,2b86,988a,c65dcc40,,3.1
128912,aa68,87a8,c772008b,,3.1
40632,8c87,a597,c9672c00,,3.1
119545,8c46,568a,c8599c52,,3.1
17043,4c85,98aa,b3b78c30,,3.1
132586,8b88,a798,097e0c80,,3.1
10701,8c88,a7a8,06aa2836,,3.1
73135,9a76,a79a,3a780c28,,3.1
24317,6b87,a7aa,c6770c0c,,3.2
177017,ac87,a6a6,3c490c83,,3.2
22815,3a87,9667,cc8c0ba6,,3.2
183990,8987,a69a,06c4a47d,,3.2
167618,8b84,a5aa,b96cbc00,,3.2
138737,8c78,aaaa,c4b3b043,,3.2
69710,8c77,9aaa,b980ab02,,3.3
144256,bc88,a8aa,6b56208d,,3.3
23729,8b64,a986,6c6dbc6d,,3.3
18067,4a86,a87a,c4b6ca5b,,3.3
89298,7c86,a6aa,b2a82c2d,,3.3
182882,5b85,aaa4,c81dbc57,,3.3
155689,bc88,a7aa,c9852930,,3.3
147643,9b88,a7a9,0665b88a,,3.3
167879,7a87,a6a7,b92ebc26,,3.3
146092,ac87,a66a,09ca0b6a,,3.3
85547,8c85,a989,9363bb78,,3.3
43559,8c86,57a6,cccebc96,,3.4
146196,9c73,a7a7,c6a8aa7d,,3.4
163765,8c86,aa99,6cdc2c88,,3.4
87324,4c77,98aa,c9c80c6d,,3.4
129082,b877,a598,c67dbc77,,3.4
65309,6876,a997,c9bebc56,,3.4
130409,8c85,85a9,c86ccb8a,,3.4
81622,ac78,969a,c4c30c9d,,3.4
120540,8c86,a8a9,ccde0c77,,3.5
132760,a875,a89a,c9cc0c6d,,3.5
1342,bc87,a68a,c6dc0c3d,,3.5
37228,8c86,a1aa,c5ddcc86,,3.5
2464,ba86,aa95,b987bb9b,,3.5
198250,8b87,a58a,bb7cbca4,,3.5
184475,9b56,a788,cc9b9cc5,,3.5
18867,8c77,9a67,cb6ebbc5,,3.5
135938,5c85,a659,ccbecb4d,,3.5
39597,9c86,a8a4,ccbd2c8b,,3.5
199418,bc85,67aa,c6b7bc5d,,3.5
124009,8c64,a5aa,c6c3cc8d,,3.5
173382,8c86,a8aa,29ce8c0d,,3.5
97768,7986,a7aa,c9dcca5c,,3.6
106976,bc88,9aaa,c985ac5b,,3.6
138928,8b83,a99a,ccce0ccd,,3.6
167882,9a66,87aa,ccdbb8ba,,3.6
160410,8b87,a757,c8dcbc9d,,3.6
46621,ac67,a8aa,66a3bccd,,3.6
109770,8c77,8aaa,c96ebc94,,3.6
173626,8c87,68a7,cadd0ccd,,3.6
92413,8b87,aaa9,799ebca4,,3.6
49208,7c68,a97a,cb9dcca5,,3.6
23880,bc88,a9a9,cabe0c88,,3.6
27978,8b87,a79a,c9bdbc7a,,3.7
42912,8c88,a9a8,c9cdac68,,3.7
64764,4b89,a99a,ccdebc5c,,3.7
83443,9b65,a8aa,cbbdbc8a,,3.7
31328,8c88,a6a8,ccddcc9b,,3.8
141151,ab86,a7aa,c9adcc8d,,3.8
162280,8c87,a5aa,c9decc7d,,3.8
57970,bc86,a9aa,c6decc9d,,3.9
100726,8b89,a6aa,ccddbccd,,3.9
22061,6c48,aaaa,cbdecccd,,3.9
99468,8c87,a5aa,cbdecccd,,3.9
